slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,uptimeSla,bandwidthSla,blocksBehindSla,supportSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag
goldrush-mainnet-free-indexer,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/chains/lens/)"",""[Docs](https://goldrush.dev/docs/chains/lens#lens)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldrush-mainnet-pay-as-you-go-indexer,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/lens#lens)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
goldrush-testnet-free-indexer,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/chains/lens/)"",""[Docs](https://goldrush.dev/docs/chains/lens#lens)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
goldrush-testnet-pay-as-you-go-indexer,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/lens#lens)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
public-mainnet,Public RPC,,"[""[Docs](https://lens.xyz/docs/chain/overview)""]",,Public,Pruned,RPC,EVM JSON-RPC,mainnet,$0,$0,null,null,null,null,null,null,,TRUE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,
public-testnet,Public RPC,,"[""[Docs](https://lens.xyz/docs/chain/overview)""]",,Public,Pruned,RPC,EVM JSON-RPC,testnet,$0,$0,null,null,null,null,null,null,,FALSE,FALSE,"[""eth"",""web3"",""net""]",,"[""DDoS Protection"",""IP Protection""]","[""Basic monitoring""]","[""Global""]",,,
rindexer-testnet-free-indexer,Rindexer,,"[""[Docs](https://lens.xyz/docs/chain/tools/data-indexers/rindexer)""]",Rust-based EVM Indexing,Free,Archive,Indexed Data,EVM JSON-RPC,testnet,$0,$0,null,null,null,null,null,null,null,FALSE,FALSE,"[""GraphQL""]","[""Rate limits apply""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]","[""No-code YAML Config"",""High Performance""]",null,
tenderly-mainnet-free,,!offer:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tenderly-mainnet-pay-as-you-go,,!offer:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tenderly-testnet-free,,!offer:tenderly-free-recent-state,"[""[Website](https://tenderly.co/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tenderly-testnet-pay-as-you-go,,!offer:tenderly-pay-as-you-go-recent-state,"[""[Buy](https://tenderly.co/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/tenderly)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-free-indexer,,!offer:thegraph-free-indexer,"[""[Website](https://thegraph.com/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/lens/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go-indexer,,!offer:thegraph-pay-as-you-go-indexer,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/lens/)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free,,!offer:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-free-indexer,,!offer:thirdweb-free-indexer,"[""[Website](https://thirdweb.com/lens)"",""[Docs](https://lens.xyz/docs/chain/tools/data-indexers/thirdweb)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go,,!offer:thirdweb-pay-as-you-go-recent-state,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-mainnet-pay-as-you-go-indexer,,!offer:thirdweb-pay-as-you-go-indexer,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/data-indexers/thirdweb)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free,,!offer:thirdweb-free-recent-state,"[""[Website](https://thirdweb.com/)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-free-indexer,,!offer:thirdweb-free-indexer,"[""[Website](https://thirdweb.com/lens-network-sepolia-testnet)"",""[Docs](https://lens.xyz/docs/chain/tools/data-indexers/thirdweb)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go,,!offer:thirdweb-pay-as-you-go-recent-state,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/rpc/thirdweb)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
thirdweb-testnet-pay-as-you-go-indexer,,!offer:thirdweb-pay-as-you-go-indexer,"[""[Buy](https://thirdweb.com/pricing)"",""[Docs](https://lens.xyz/docs/chain/tools/data-indexers/thirdweb)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,,!offer:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,,!offer:quicknode-accelerate-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,,!offer:quicknode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,,!offer:quicknode-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,,!offer:quicknode-build-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,,!offer:quicknode-accelerate-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,,!offer:quicknode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,,!offer:quicknode-business-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-recent-state,,!offer:quicknode-build-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-recent-state,,!offer:quicknode-accelerate-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-recent-state,,!offer:quicknode-scale-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-recent-state,,!offer:quicknode-business-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-build-full-archive,,!offer:quicknode-build-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-accelerate-full-archive,,!offer:quicknode-accelerate-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-scale-full-archive,,!offer:quicknode-scale-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-testnet-business-full-archive,,!offer:quicknode-business-full-archive,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
lens-protocol-api,Lens Protocol,,"[""[Docs](https://lens.xyz/docs/protocol/migration/api)"",""[Playground](https://api.lens.xyz/)""]",,Free,Archive,GraphQL,GraphQL,mainnet,$0,$0,NULL,NULL,NULL,,NULL,NULL,,FALSE,FALSE,"[""Social Graph"",""Profiles"",""Publications"",""Authentication"",""Search""]","[""Public API Rate Limits""]","[""Momoka Data Availability"",""Sandboxed Modules""]","[""Momoka Explorer""]","[""Global""]","[""Gasless Transactions"",""Account Abstraction""]",,
