slug,provider,chain,address,technology,plan,trial,accessPrice,queryPrice,starred,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons
thegraph-linea-mainnet-enterprise,The Graph,mainnet,null,"Subgraphs, Substreams",Enterprise,FALSE,Custom,Custom pricing & SLAs,TRUE,"[""GraphQL""]",[],"[""Decentralized infra""]","[""Subgraph logs"",""Usage analytics""]","[""Global""]","[""Enterprise priority support"", ""Customized SLAs""]",null,null,null,"[""[Docs](https://thegraph.com/docs/en/supported-networks/linea/)""]"
covalent-linea-mainnet-payg,Covalent,mainnet,null,Unified Data API,Pay-as-you-go,FALSE,0,"Usage based, API rate limits apply",FALSE,"[""REST API""]",[],"[""Secure data pipelines""]","[""API logs"", ""Usage statistics""]","[""Global""]","[""Historic & real-time blockchain data""]",null,null,null,"[""[Docs](https://goldrush.dev/docs/chains/linea#linea)""]"
covalent-linea-mainnet-enterprise,Covalent,mainnet,null,Unified Data API,Enterprise,FALSE,Custom,Custom pricing & SLAs,FALSE,"[""REST API""]",[],"[""Secure data pipelines""]","[""Advanced analytics""]","[""Global""]","[""Custom enterprise features""]",null,null,null,"[""[Docs](https://goldrush.dev/docs/chains/linea#linea)""]"
envio-linea-mainnet-free,Envio,mainnet,null,Custom Indexers,Free,FALSE,0,Included with basic access,FALSE,"[""GraphQL"",""Custom Handlers""]",[],"[""Secure infrastructure""]","[""Logs"", ""Usage statistics""]","[""Global""]","[""JS/TS/ReScript indexers"", ""Multi-chain support""]",null,null,null,"[""[Docs](https://docs.envio.dev/docs/HyperIndex/linea#indexing-linea-data-with-envio)""]"
envio-linea-mainnet-payg,Envio,mainnet,null,Custom Indexers,Pay-as-you-go,FALSE,0,"Variable, paid for additional usage",FALSE,"[""GraphQL"",""Custom Handlers""]",[],"[""Secure infrastructure""]","[""Logs"", ""Usage statistics""]","[""Global""]","[""Scalable custom indexers"", ""Multi-chain""]",null,null,null,"[""[Docs](https://docs.envio.dev/docs/HyperIndex/linea#indexing-linea-data-with-envio)""]"
envio-linea-mainnet-enterprise,Envio,mainnet,null,Custom Indexers,Enterprise,FALSE,Custom,Custom pricing & SLAs,FALSE,"[""GraphQL"",""Custom Handlers""]",[],"[""Secure infrastructure""]","[""Advanced analytics""]","[""Global""]","[""JS/TS/ReScript indexers"", ""Multi-chain support""]",null,null,null,"[""[Docs](https://docs.envio.dev/docs/HyperIndex/linea#indexing-linea-data-with-envio)""]"
mobula-linea-mainnet-payg,Mobula,mainnet,null,Indexer/Analytics,Pay-as-you-go,TRUE,0,"Variable, usage metered",FALSE,"[""API"",""SDK"",""Dashboards""]",[],"[""Security monitoring tools""]","[""Real-time feeds"", ""Market analytics""]","[""Global""]","[""SDK availability"", ""Onchain signals""]",null,null,null,"[""[Docs](https://docs.mobula.io/introduction)""]"
mobula-linea-mainnet-enterprise,Mobula,mainnet,null,Indexer/Analytics,Enterprise,FALSE,Custom,Custom pricing & SLA,FALSE,"[""API"",""SDK"",""Dashboards""]",[],"[""Security monitoring tools""]","[""Advanced analytics""]","[""Global""]","[""Support for private analytics"", ""High throughput""]",null,null,null,"[""[Docs](https://docs.mobula.io/introduction)""]"
dipdup-linea-mainnet-free,dipDup,mainnet,null,Modular Indexers,Free,FALSE,0,0 (self-hosted open-source),FALSE,"[""GraphQL"",""Code-gen APIs""]",[],"[""Open-source stack security""]","[""Logs"", ""Analytics""]","[""Global""]","[""Fast setup templates"", ""Open-source""]",null,null,null,"[""[Docs](https://dipdup.io/docs)""]"
dipdup-linea-mainnet-enterprise,dipDup,mainnet,null,Modular Indexers,Enterprise,FALSE,Custom,Custom pricing & SLA,FALSE,"[""GraphQL"",""Code-gen APIs""]",[],"[""Open-source stack security""]","[""Advanced analytics""]","[""Global""]","[""Managed enterprise support""]",null,null,null,"[""[Docs](https://dipdup.io/docs)""]"
bitscrunch-linea-mainnet-payg,bitsCrunch,mainnet,null,Analytics & Indexing,Pay-as-you-go,FALSE,0,Token-based / usage based,FALSE,"[""REST API""]",[],"[""IP protection"", ""DDoS protection""]","[""Dashboards"", ""Usage analytics""]","[""Global""]","[""AI-powered analytics"", ""Price estimation""]",null,null,null,"[""[Docs](https://docs.bitscrunch.com/docs/overview/about)""]"
bitscrunch-linea-mainnet-enterprise,bitsCrunch,mainnet,null,Analytics & Indexing,Enterprise,FALSE,Custom,Custom pricing & SLAs,FALSE,"[""REST API""]",[],"[""IP protection"", ""DDoS protection""]","[""Dashboards"", ""Advanced analytics""]","[""Global""]","[""Enterprise tier features""]",null,null,null,"[""[Docs](https://docs.bitscrunch.com/docs/overview/about)""]"
