slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
quicknode-testnet-growth,QuickNode,Pay-As-You-Go,Recent-State,testnet,49,$10-24.8 per 1M requests,null,null,null,FALSE,FALSE,"[""horizon""]","[""60M requests per month""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://www.quicknode.com/docs/stellar)""]",
quicknode-testnet-enterprise,QuickNode,Enterprise,Recent-State,testnet,null,Custom,null,null,null,FALSE,FALSE,"[""horizon""]","[""Custom limits""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.quicknode.com/)"", ""[Docs](https://www.quicknode.com/docs/stellar)""]",
ankr-mainnet-free,Ankr,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""horizon"",""soroban-rpc""]","[""~1800 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
ankr-mainnet-growth,Ankr,Pay-As-You-Go,Recent-State,mainnet,$10 included into query fees,$20 per 1M requests,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""up to 90k req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
ankr-mainnet-enterprise,Ankr,Enterprise,Recent-State,mainnet,$1000 included into query fees,Custom,custom SLA,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""up to 900k req/min""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
ankr-testnet-free,Ankr,Free,Recent-State,testnet,0,0,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""~1800 req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
ankr-testnet-growth,Ankr,Growth,Recent-State,testnet,$10 included into query fees,$20 per 1M requests,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""up to 90k req/min""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
ankr-testnet-enterprise,Ankr,Enterprise,Recent-State,testnet,$1000 included into query fees,Custom,custom SLA,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""up to 900k req/min""]","[""DDoS Protection"",""IP Protection"",""Dedicated infrastructure""]","[""Usage analytics"",""Custom monitoring"",""Advanced analytics""]","[""Global""]",null,null,null,"[""[Buy](https://www.ankr.com/)"", ""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-api/stellar/)""]",
nownodes-mainnet-free,NOWNodes,Free,Recent-State,mainnet,0,0,null,null,null,TRUE,FALSE,"[""horizon"",""soroban-rpc""]","[""5000 requests per day""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://nownodes.io/)"", ""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",
nownodes-mainnet-growth,NOWNodes,Pay-As-You-Go,Recent-State,mainnet,"€20 / €200/ € 500 included into requests, yearly 10% discount",null,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""10M requests per month""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://nownodes.io/)"", ""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",
nownodes-testnet-free,NOWNodes,Free,Recent-State,testnet,0,"Free (100,000 included only)",null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""100k requests, no more than 1 month, no more than 1 key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics""]","[""Global""]",null,null,null,"[""[Buy](https://nownodes.io/)"", ""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",
nownodes-testnet-growth,NOWNodes,Pay-As-You-Go,Recent-State,testnet,"€20 / €200/ € 500 included into requests, yearly 10% discount",€50 / €10 / €5 million per 1M requests,null,null,null,FALSE,FALSE,"[""horizon"",""soroban-rpc""]","[""1M / 30M / 100M requests per month, 3 / 25 / 100 api key""]","[""DDoS Protection"",""IP Protection""]","[""Usage analytics"",""Custom monitoring""]","[""Global""]",null,null,null,"[""[Buy](https://nownodes.io/)"", ""[Docs](https://nownodes.io/nodes/stellar-xlm)""]",
