slug,provider,toolType,tag,price,description,starred,actionButtons
mpcvault-starter,!provider:mpcvault-starter,,,,,,
mpcvault-business,!provider:mpcvault-business,,,,,,
mpcvault-enterprise,!provider:mpcvault-enterprise,,,,,,
tatum-free,!provider:tatum-free,,,,,,
tatum-standard,!provider:tatum-standard,,,,,,
tatum-enterprise,!provider:tatum-enterprise,,,,,
datacurve-pay-as-you-go,!provider:datacurve-pay-as-you-go,,,,,,
datacurve-enterprise,!provider:datacurve-enterprise,,,,,,
dappkit,!provider:dappkit,,,,,,
alchemy-sdk-free,!provider:alchemy-sdk-free,,,,,,
alchemy-sdk-pay-as-you-go,!provider:alchemy-sdk--pay-as-you-go,,,,,,
alchemy-sdk-enterprise,!provider:alchemy-sdk-enterprise,,,,,,
kurtosis,!provider:kurtosis,,,,,,
orderly,!provider:orderly,,,,,,
vyper,!provider:vyper,,,,,,
curvegrid-free,!provider:curvegrid-free,,,,,,
curvegrid-enterprise,!provider:curvegrid-enterprise,,,,,,
thirdweb-starter,!provider:thirdweb-starter,,,,,,
thirdweb-standard,!provider:thirdweb-standard,,,,,,
thirdweb-business,!provider:thirdweb-business,,,,,,
thirdweb-enterprise,!provider:thirdweb-enterprise,,,,,,
biconomy,!provider:biconomy,,,,,,
tableland-db,!provider:tableland-db,,,,,,
decent,!provider:decent,,,,,,
alchemy-transact-free,!provider:alchemy-transact-free,,,,,,
alchemy-transact-pay-as-you-go,!provider:alchemy-transact-pay-as-you-go,,,,,,
alchemy-transact-enterprise,!provider:alchemy-transact-enterprise,,,,,,
sign-protocol,!provider:sign-protocol,,,,,,
rust-ethereum-abi,!provider:rust-ethereum-abi,,,,,,
kevm,!provider:kevm,,,,,,
evm-2,!provider:evm-2,,,,,,
eth-fiddle,!provider:eth-fiddle,,,,,,
starton-free,!provider:starton-free,,,,,,
starton-standard,!provider:starton-standard,,,,,,
starton-enterprise,!provider:starton-enterprise,,,,,,
etherface-free,!provider:etherface-free,,,,,,
etherface-enterprise,!provider:etherface-enterprise,,,,,,
eth-tx,!provider:eth-tx,,,,,,
sprintcheckout,!provider:sprintcheckout,,,,,,
block-bucket,!provider:block-bucket,,,,,,
mimic,!provider:mimic,,,,,,
onmeta,!provider:onmeta,,,,,,
whal3s,!provider:whal3s,,,,,,
cobra,!provider:cobra,,,,,,
chain-ide,!provider:chain-ide,,,,,,
intellij-solidity-plugin,!provider:intellij-solidity-plugin,,,,,,
coinflow,!provider:coinflow,,,,,,
enso,!provider:enso,,,,,,
bitbond-token-tool-free,!provider:bitbond-token-tool-free,,,,,,
bitbond-token-tool-pay-as-you-go,!provider:bitbond-token-tool-pay-as-you-go,,,,,,
particle,!provider:particle,,,,,,
tenderly-sandbox,!provider:tenderly-sandbox,,,,,,
bonadocs,!provider:bonadocs,,,,,,
cometh,!provider:cometh,,,,,,
forge,!provider:forge,,,,,,
scaffold-eth,!provider:scaffold-eth,,,,,,
ethers-js,!provider:ethers-js,,,,,,
huff,!provider:huff,,,,,,
abi-parser,!provider:abi-parser,,,,,,
capstone-disassembler,!provider:capstone-disassembler,,,,,,
sublime-ethereum,!provider:sublime-ethereum,,,,,,
brownie,!provider:brownie,,,,,,
uniswap-web3-react,!provider:uniswap-web3-react,,,,,,
evm-toolkit,!provider:evm-toolkit,,,,,,
jeb-decompiler,!provider:jeb-decompiler,,,,,,
quiver,!provider:quiver,,,,,,
0x-cert,!provider:0x-cert,,,,,,
blocksec-phalcon,!provider:blocksec-phalcon,,,,,,
eth-calldata-decoder,!provider:eth-calldata-decoder,,,,,,
etherspot,!provider:etherspot,,,,,,
assembly-script,!provider:assembly-script,,,,,,
echidna,!provider:echidna,,,,,,
fuzzlib,!provider:fuzzlib,,,,,,
reclaim-protocol,!provider:reclaim-protocol,,,,,,
wake,!provider:wake,,,,,,
quicknode-free,!provider:quicknode-free,,,,,,
quicknode-starter,!provider:quicknode-starter,,,,,,
quicknode-standard,!provider:quicknode-standard,,,,,,
quicknode-business,!provider:quicknode-business,,,,,,
quicknode-enterprise,!provider:quicknode-enterprise,,,,,,
account-smart-wallet,Account Smart Wallet,SDK,"[""Payments"",""Wallet"",""Multichain""]",$0,"With the Base Account SDK you can connect to over one hundred thousand users and unlock authentication and payments with just a few lines of code",FALSE,"[""[Docs](https://docs.base.org/base-account/overview/what-is-base-account)""]"
blocknative-batch-decoder,!provider:blocknative-batch-decoder,Tool,,,,,
chainlink-ccip,!provider:chainlink-ccip,,,,,,
dapp-launchpad,!provider:dapp-launchpad,,,,,,
foundry,!provider:foundry,,,,,,
ganache,!provider:ganache,,,,,,
gas-station-network,!provider:gas-station-network,,,,,,
halliday,!provider:halliday,,,,,,
hardhat,!provider:hardhat,,,,,,
ipfs,!provider:ipfs,,,,,,
mini-kit,MiniKit,Tool,"[""React"",""Mini apps"",""Farcaster""]",$0,"Official SDK for building Mini Apps that work seamlessly across Base App and other Farcaster clients",FALSE,"[""[Docs](https://docs.base.org/mini-apps/technical-reference/minikit/overview)""]"
magic,!provider:magic,,,,,,
moralis-free,!provider:moralis-free,,,,,,
moralis-starter,!provider:moralis-starter,,,,,,
moralis-standard,!provider:moralis-standard,,,,,,
moralis-business,!provider:moralis-business,,,,,,
moralis-enterprise,!provider:moralis-enterprise,,,,,,
openfort-free,!provider:openfort-free,,,,,,
openfort-start,!provider:openfort-start,,,,,,
openfort-standard,!provider:openfort-standard,,,,,,
openfort-enterprise,!provider:openfort-enterprise,,,,,,
openzeppelin,!provider:openzeppelin,,,,,,
orbit-db,!provider:orbit-db,,,,,,
portal-free,!provider:portal-free,,,,,,
portal-starter,!provider:portal-starter,,,,,,
portal-enterprise,!provider:portal-enterprise,,,,,,
remix,!provider:remix,,,,,,
reown,!provider:reown,,,,,,
tenderly,!provider:tenderly,,,,,,
thirdweb-aa,!provider:thirdweb-aa,,,,,,
thirdweb-pay,!provider:thirdweb-pay,,,,,,
thread-db,!provider:thread-db,,,,,,
truffle,!provider:truffle,,,,,,
turnkey-free,!provider:turnkey-free,,,,,,
turnkey-standard,!provider:turnkey-standard,,,,,,
turnkey-enterprise,!provider:turnkey-enterprise,,,,,,
unlock-protocol,!provider:unlock-protocol,,,,,,
walletconnect,!provider:walletconnect,,,,,,
zksync-elastic,!provider:zksync-elastic,,,,,,
matic-js,!provider:matic-js,,,,,,
web3-js,!provider:web3-js,,,,,,
4everland-free,!provider:4everland-free,,,,,,
4everland-pay-as-you-go,!provider:4everland-pay-as-you-go,,,,,,
apeworx,!provider:apeworx,,,,,,
bonadocs-docgen,!provider:bonadocs-docgen,,,,,,
cookbook-dev,!provider:cookbook-dev,,,,,,
defi-builder,!provider:defi-builder,,,,,,
laika-ai,!provider:laika-ai,,,,,,
limechain,!provider:limechain,,,,,,
multicall3,!provider:multicall3,,,,,,
reservoir,!provider:reservoir,,,,,,
rollup-codes,!provider:rollup-codes,,,,,,
spheron-network,!provider:spheron-network,,,,,,
swing,!provider:swing,,,,,,
thx-network,!provider:thx-network,,,,,,
vialabs,!provider:vialabs,,,,,,
zerodev,!provider:zerodev,,,,,,
aarc,!provider:aarc,,,,,,
rainbowkit,!provider:rainbowkit,,,,,,
univoucher,!provider:univoucher,,,,,,
wagmi,!provider:wagmi,,,,,,
web3auth-free,!provider:web3auth-free,,,,,,
web3auth-starter,!provider:web3auth-starter,,,,,,
web3auth-standard,!provider:web3auth-standard,,,,,,
web3auth-enterprise,!provider:web3auth-enterprise,,,,,,
web3-py,!provider:web3-py,,,,,,
crossmint-free,!provider:crossmint-free,,,,,,
crossmint-enterprise,!provider:crossmint-enterprise,,,,,,
