slug,chainId,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,authenticationMethods,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,blocksBehindSla,bandwidthSla,supportSla,networkSupportBasis
ankr-mainnet-pay-as-you-go-full-archive,534352,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-mainnet-pay-as-you-go-recent-state,534352,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
ankr-testnet-free-full-archive,534352,,!offer:ankr-free-full-archive,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
ankr-testnet-free-recent-state,534352,,!offer:ankr-free-recent-state,"[""[Website](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-full-archive,534352,,!offer:ankr-pay-as-you-go-full-archive,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
ankr-testnet-pay-as-you-go-recent-state,534352,,!offer:ankr-pay-as-you-go-recent-state,"[""[Buy](https://www.ankr.com/rpc/?utm_referral=t26yw96jZJ)"",""[Docs](https://www.ankr.com/docs/rpc-service/chains/chains-list/#scroll-scr)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-full-archive,534352,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-business-recent-state,534352,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-developer-recent-state,534352,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-full-archive,534352,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-growth-recent-state,534352,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-full-archive,534352,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-mainnet-pro-recent-state,534352,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-testnet-business-full-archive,534352,,!offer:chainstack-business-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-business-recent-state,534352,,!offer:chainstack-business-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-developer-recent-state,534352,,!offer:chainstack-developer-recent-state,"[""[Website](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-growth-full-archive,534352,,!offer:chainstack-growth-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-growth-recent-state,534352,,!offer:chainstack-growth-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-pro-full-archive,534352,,!offer:chainstack-pro-full-archive,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
chainstack-testnet-pro-recent-state,534352,,!offer:chainstack-pro-recent-state,"[""[Buy](https://chainstack.referral-factory.com/uDAlJWDK)"",""[Docs](https://docs.chainstack.com/docs/scroll-methods)""]",,,,,,,testnet,,,,,,,,,,,,,,,,,
envio-mainnet-free-indexer,534352,,!offer:envio-free-indexer,"[""[Website](https://envio.dev/)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/scroll)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
envio-mainnet-pay-as-you-go-indexer,534352,,!offer:envio-pay-as-you-go-indexer,"[""[Buy](https://envio.dev/pricing)"",""[Docs](https://docs.envio.dev/docs/HyperIndex/scroll)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-advanced-recent-state,534352,,!offer:getblock-advanced-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-dedicated-recent-state,534352,,!offer:getblock-dedicated-recent-state,,,,,,,,mainnet,up to $1.2K,,,,,,,,,,,,,,,,
getblock-mainnet-free-recent-state,534352,,!offer:getblock-free-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-pro-recent-state,534352,,!offer:getblock-pro-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
getblock-mainnet-starter-recent-state,534352,,!offer:getblock-starter-recent-state,,,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldrush-mainnet-free-indexer,534352,,!offer:goldrush-free-indexer,"[""[Website](https://goldrush.dev/chains/scroll/)"",""[Docs](https://goldrush.dev/docs/chains/scroll#scroll)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldrush-mainnet-pay-as-you-go-indexer,534352,,!offer:goldrush-pay-as-you-go-indexer,"[""[Buy](https://goldrush.dev/pricing/)"",""[Docs](https://goldrush.dev/docs/chains/scroll#scroll)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldsky-mainnet-free-indexer,534352,,!offer:goldsky-free-indexer,"[""[Website](https://goldsky.com/chains/scroll)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
goldsky-mainnet-pay-as-you-go-indexer,534352,,!offer:goldsky-pay-as-you-go-indexer,"[""[Buy](https://goldsky.com/pricing)"",""[Docs](https://docs.goldsky.com/subgraphs/introduction)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
thegraph-mainnet-free-indexer,534352,,!offer:thegraph-free-indexer,"[""[Docs](https://thegraph.com/docs/en/supported-networks/scroll/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
thegraph-mainnet-pay-as-you-go-indexer,534352,,!offer:thegraph-pay-as-you-go-indexer,"[""[Buy](https://thegraph.com/studio-pricing/)"",""[Docs](https://thegraph.com/docs/en/supported-networks/scroll/)""]",,,,,,,mainnet,,,,,,,,,,,,,,,,,
