slug,provider,offer,actionButtons,tag,description,planType,planName,price,trial,starred,toolType,deliveryType,executionEnvironment,coverage,compliance
ercx-standard,ERCx,,"[""[Buy](https://ercx.runtimeverification.com/pricing)""]","[""Blockchain Development"",""Web3 Security"",""Token Standards"",""Code Auditing""]","It offers a conformance and property-checking platform for Ethereum smart contracts, specifically those implementing ERC token standards like ERC-20, ERC-721, and ERC-1155",TBD,,$100/mo,FALSE,FALSE,compliance checker,Web app,,"[""smart contracts"",""token standards""]",
failsafe,FailSafe,,"[""[Website](https://getfailsafe.com/)""]","[""AI Security"",""Penetration Testing"",""Real-Time Threat Detection"",""Security Audits""]","It focused on security and compliance for the blockchain, Web3 and AI industries",Free,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
goplus-beginner,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Beginner,$399/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-enterprise,Goplus,,"[""[Contact](https://t.me/Goplusservice)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Enterprise,,Custom,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-free,Goplus,,"[""[Website](https://gopluslabs.io/security-api)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Free,,$0,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-growth,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Growth,$799/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-pro,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Pro,$1899/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-test,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Test,$199/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
goplus-ultra,Goplus,,"[""[Buy](https://gopluslabs.io/security-api#pricing)""]","[""Token Security"",""NFT Security"",""Malicious Address"",""Phishing Site Detection""]","It provides an open, permissionless Web3 security infrastructure offering a suite of APIs for token, smart contract, and dApp security across over 70 blockchains",Tiered,Ultra,$3499/mo,FALSE,FALSE,TBD,API,,"[""transactions"",""tokens"",""nfts""]",
hacken-blockchain-protocol-audit,Hacken,,"[""[Website](https://hacken.io/services/blockchain-security/blockchain-protocol-security/)"""],"[""Web3 Security"",""Layer 1 Audit"",""Protocol Security""]","Comprehensive security assessment for blockchain protocols, layer 1, and layer 2 networks to ensure structural integrity and security.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""blockchain protocols""]","[""TBD""]"
hacken-penetration-testing,Hacken,,"[""[Website](https://hacken.io/services/penetration-testing/)"""],"[""Web3 Security"",""Penetration Testing"",""Ethical Hacking""]","Advanced penetration testing services for dApps, wallets, and exchanges to identify vulnerabilities before malicious actors do.",Enterprise,,Custom,FALSE,FALSE,Penetration Testing,TBD,TBD,"[""dApps"",""wallets"",""exchanges""]","[""TBD""]"
hacken-proof-of-reserves-audit,Hacken,,"[""[Website](https://hacken.io/services/proof-of-reserves-audit/)"""],"[""Web3 Security"",""Proof of Reserves"",""Financial Audit""]",Independent verification of digital assets held by exchanges and custodians to ensure transparency and solvency.,Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""exchanges"",""custodians""]","[""TBD""]"
hacken-smart-contract-audit,Hacken,,"[""[Website](https://hacken.io/services/smart-contract-audit/)"""],"[""Web3 Security"",""Smart Contract Audits"",""Code Review""]",Rigorous smart contract auditing service combining manual review and automated analysis to secure decentralized applications.,Enterprise,,Custom,FALSE,FALSE,Audits,TBD,EVM,"[""smart contracts""]","[""TBD""]"
hacken-tokenomics-audit,Hacken,,"[""[Website](https://hacken.io/services/tokenomics-audit/)"""],"[""Web3 Security"",""Tokenomics"",""Economic Design""]","Comprehensive analysis of token economic models to prevent systemic risks, inflation vulnerabilities, and economic exploits.",Enterprise,,Custom,FALSE,FALSE,Audits,TBD,TBD,"[""tokenomics""]","[""TBD""]"
noves-business,Noves,,"[""[Buy](https://www.noves.fi/pricing)"",""[Docs](https://docs.noves.fi/reference/rpc-api-quickstart)""]","[""Web3 security"",""Transaction Simulation"",""Fraud Filtering""]","It provides APIs for comprehensive transaction simulation, advanced fraud filtering, and routing validation to secure Web3 applications.",Tiered,Business,"$625/mo (monthly plan), $500/mo (annual plan)",FALSE,TRUE,Security,API,,"[""Global""]",
noves-developer,Noves,,"[""[Buy](https://www.noves.fi/pricing)"",""[Docs](https://docs.noves.fi/reference/rpc-api-quickstart)""]","[""Web3 security"",""Transaction Simulation"",""Fraud Filtering""]","It provides APIs for comprehensive transaction simulation, advanced fraud filtering, and routing validation to secure Web3 applications.",Tiered,Developer,"$250/mo (monthly plan), $200/mo (annual plan)",FALSE,TRUE,Security,API,,"[""Global""]",
noves-enterprise,Noves,,"[""[Contact](https://www.noves.fi/pricing)"",""[Docs](https://docs.noves.fi/reference/rpc-api-quickstart)""]","[""Web3 security"",""Transaction Simulation"",""Fraud Filtering""]","It provides APIs for comprehensive transaction simulation, advanced fraud filtering, and routing validation to secure Web3 applications.",Enterprise,,Custom,FALSE,TRUE,Security,API,,"[""Global""]",
noves-free,Noves,,"[""[Website](https://www.noves.fi/)"",""[Docs](https://docs.noves.fi/reference/rpc-api-quickstart)""]","[""Web3 security"",""Transaction Simulation"",""Fraud Filtering""]","It provides APIs for comprehensive transaction simulation, advanced fraud filtering, and routing validation to secure Web3 applications.",Free,,$0,FALSE,TRUE,Security,API,,"[""Global""]",
openzeppelin-audits,OpenZeppelin,,"[""[Website](https://openzeppelin.com/security-audits/)""]","[""Web3 Security"",""Smart Contract Audits"",""Formal Verification"",""Code Reviews""]","Comprehensive smart contract audit services including manual review, automated analysis, and formal verification for decentralized applications",Enterprise,,Custom,FALSE,TRUE,Audits,TBD,"Solidity, Cairo, Rust, Go","[""smart contracts""]","[""SOC2""]"
polyzoa,Polyzoa,,"[""[Website](https://www.polyzoa.xyz/)""]","[""Anti-scam solutions"",""Threat Detection"",""Phishing Protection"",""Web3 Security""]",Developer tool provider in the Web3 space that offers an anti-scam security layer for blockchain infrastructure,TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
safe,Safe,,"[""[Website](https://safe.global/)"",""[Docs](https://docs.safe.global/home/what-is-safe)""]","[""Modular Smart Accounts"",""Account Abstraction"",""SDK"",""API""]","Modular smart account infrastructure with a full account abstraction stack via Safe{Core} Account Abstraction SDK, API, and Protocol",TBD,,Custom,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
scam-sniffer-enterprise,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Enterprise,,Custom,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-standard,Scam Sniffer,,"[""[Buy](https://www.scamsniffer.io/#pricing)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Tiered,Standard,$999/mo,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
scam-sniffer-startup,Scam Sniffer,,"[""[Website](https://www.scamsniffer.io/)""]","[""Phishing Protection"",""Anti-scam solutions"",""Web3 Security"",""Threat Detection""]","Protects Web3 users by identifying malicious domains, addresses, and phishing signatures in real-time before transactions are signed",Free,Startup,$0,FALSE,FALSE,anti-scam protection,Web app,,"[""signature security"",""safe browsing"",""token approvals""]",
sec3-x-ray-build,Sec3,,"[""[Buy](https://www.sec3.dev/x-ray)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Build,$1.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-enterprise,Sec3,,"[""[Contact](https://pro.sec3.dev/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Enterprise,,Custom,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-essential,Sec3,,"[""[Website](https://www.sec3.dev/x-ray)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tiered,Essential,$99/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
sec3-x-ray-scale,Sec3,,"[""[Buy](https://www.sec3.dev/x-ray)""]","[""Web3 Security"",""Smart Contract Scanner"",""Static Analysis""]",It is a Web3 security tool that automates smart-contract security best practices by scanning a source-code for known vulnerabilities before launching,Tired,Scale,$9.9K/mo,FALSE,FALSE,Scanner,Cloud‑hosted SaaS security‑analysis service,Rust,"[""smart contracts""]","[""AGPL-3.0""]"
solidityscan-enterprise,SolidityScan,,"[""[Contact](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Enterprise,,Custom,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-on-demand,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Pay-as-you-go,On Demand,$29.99,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-pro,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Pro,$499.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
solidityscan-starter,SolidityScan,,"[""[Buy](https://solidityscan.com/pricing)"",""[Docs](https://docs.solidityscan.com/)""]","[""Web3 Security"",""Smart Contract Scanner"",""Automated Auditing"",""Vulnerability Detection""]",It is an automated smart contract vulnerability scanner that helps developers identify security flaws and provides remediation solutions in seconds,Tiered,Individual,$199.99/mo,TRUE,FALSE,Scanner,Cloud-based platform,Solidity,"[""smart contracts""]","[""SOC 2""]"
ziion-linux-distro,Ziion Linux distro,,"[""[Website](https://www.ziion.org/)""]","[""Security Testing"",""Vulnerability Assessment"",""Cybersecurity"",""Virtual Machine""]","Functions as a specialized, pre-configured provider of developer and security tools for the blockchain and Web3 ecosystem",TBD,,$0,FALSE,FALSE,TBD,TBD,,"[""TBD""]",
